	Marker - Bat Handle			Marker - Bat Hands			Marker - Bat COM			Marker - Bat Top Cap			Marker - Bat Bottom Cap			Virtual Marker - End of Bat			Virtual Marker - Center of Bat		
	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
Index	Series	Series	Series	Series	Series	Series	Series	Series	Series	Series	Series	Series	Series	Series	Series	Series	Series	Series	Series	Series	Series
89	-144.620056	377.284241	1191.308594	-234.884857	547.225891	1516.783325	-276.936768	633.88269	1686.414795	-336.927368	737.715881	1901.579956	-363.863251	667.43988	1924.550537	-350.395294	702.577881	1913.065186	-247.507675	539.931091	1552.18689
90	-146.07782	377.155396	1190.933716	-235.883926	547.056763	1516.519531	-277.815735	633.660156	1686.226807	-337.651703	737.450867	1901.427856	-364.696289	667.241516	1924.358887	-351.173981	702.346191	1912.893311	-248.6259	539.750793	1551.913452
91	-147.510956	377.037903	1190.564453	-236.891754	546.894226	1516.261475	-278.708679	633.452332	1686.039429	-338.38205	737.193176	1901.270508	-365.534241	667.056091	1924.168579	-351.95813	702.124634	1912.719482	-249.734543	539.581238	1551.641968
92	-148.918198	376.929199	1190.201172	-237.908356	546.738159	1516.007935	-279.617737	633.262024	1685.851807	-339.11734	736.939575	1901.10791	-366.376343	666.882874	1923.978516	-352.746826	701.911255	1912.543213	-250.83252	539.420227	1551.372192
93	-150.301453	376.826355	1189.842773	-238.933868	546.588257	1515.757324	-280.543884	633.091431	1685.663208	-339.856171	736.687195	1900.940308	-367.222717	666.720581	1923.788208	-353.539429	701.703918	1912.364258	-251.920441	539.265137	1551.103516
94	-151.665497	376.726807	1189.488403	-239.968552	546.444214	1515.508179	-281.485748	632.94043	1685.47229	-340.597229	736.43396	1900.768433	-368.074097	666.568298	1923.598145	-354.335663	701.50116	1912.183228	-253.00058	539.113953	1550.835815
95	-153.016083	376.628723	1189.13623	-241.012756	546.305054	1515.259521	-282.438904	632.805847	1685.277954	-341.33905	736.179504	1900.593018	-368.93161	666.425903	1923.408691	-355.135345	701.302673	1912.000854	-254.075714	538.965698	1550.568481
96	-154.358032	376.531219	1188.785034	-242.066681	546.169434	1515.010254	-283.397156	632.682251	1685.079102	-342.079926	735.925171	1900.414551	-369.796783	666.293579	1923.220093	-355.938354	701.109375	1911.817261	-255.148193	538.820313	1550.301147
97	-155.695129	376.43457	1188.432983	-243.130157	546.035645	1514.760132	-284.354919	632.564575	1684.87439	-342.81842	735.673645	1900.233643	-370.670532	666.171387	1923.032837	-356.744476	700.922485	1911.633301	-256.219788	538.678528	1550.033081
98	-157.031219	376.339417	1188.078613	-244.202637	545.902832	1514.509155	-285.30896	632.449463	1684.663818	-343.553406	735.429077	1900.050903	-371.552765	666.058899	1922.84729	-357.553101	700.743958	1911.449097	-257.292145	538.541687	1549.763794
99	-158.369919	376.246307	1187.721069	-245.283264	545.771912	1514.258301	-286.258057	632.335571	1684.44751	-344.284637	735.196594	1899.867065	-372.442474	665.955383	1922.663696	-358.363556	700.575989	1911.265381	-258.36673	538.411133	1549.493286
100	-159.714417	376.155243	1187.360474	-246.371338	545.645081	1514.008545	-287.202515	632.222534	1684.226685	-345.012817	734.981873	1899.683228	-373.338776	665.861084	1922.481689	-359.175812	700.421448	1911.08252	-259.445099	538.28833	1549.221436
101	-161.068542	376.065826	1186.997559	-247.466919	545.525208	1513.76123	-288.143524	632.110474	1684.003052	-345.739746	734.789124	1899.500977	-374.241547	665.7771	1922.300537	-359.990631	700.283142	1910.900757	-260.529572	538.1745	1548.949097
102	-162.438202	375.977295	1186.633057	-248.571075	545.414978	1513.516357	-289.082764	631.999817	1683.778442	-346.467682	734.620667	1899.322021	-375.151215	665.705078	1922.119629	-360.809448	700.162903	1910.720825	-261.62384	538.070129	1548.677002
103	-163.832306	375.888245	1186.266968	-249.685303	545.316528	1513.274048	-290.022552	631.89209	1683.554443	-347.199005	734.477478	1899.147339	-376.068115	665.646484	1921.938232	-361.633575	700.061951	1910.542847	-262.732941	537.975098	1548.404907
104	-165.260956	375.79715	1185.89917	-250.810623	545.230591	1513.03418	-290.966064	631.789673	1683.332153	-347.935486	734.359192	1898.977051	-376.991974	665.602051	1921.756226	-362.463715	699.980652	1910.366577	-263.862335	537.888916	1548.132813
105	-166.731125	375.703339	1185.530518	-251.947083	545.15625	1512.797241	-291.91687	631.695801	1683.11145	-348.678589	734.264771	1898.810425	-377.921875	665.572205	1921.573853	-363.300232	699.918457	1910.192139	-265.015686	537.810913	1547.861328
106	-168.243835	375.607483	1185.16333	-253.094101	545.091797	1512.563721	-292.878174	631.613403	1682.891602	-349.429382	734.192444	1898.646118	-378.856506	665.557007	1921.391235	-364.142944	699.874695	1910.018677	-266.19339	537.741089	1547.591064
